Individual	Sample	Organ	Type	Proportion
CM1	CM1-B3	Brain	opt_Balbc	9.99997000009e-07
CM1	CM1-B3	Brain	opt_C57	0.999998000006
CM1	CM1-B3	Brain	opt_PWK	9.99997000009e-07
CM2	CM2-B11	Brain	opt_Balbc	9.99997000009e-07
CM2	CM2-B11	Brain	opt_C57	0.999998000006
CM2	CM2-B11	Brain	opt_PWK	9.99997000009e-07
CM2	CM2-B13	Brain	opt_Balbc	9.99997000009e-07
CM2	CM2-B13	Brain	opt_C57	0.999998000006
CM2	CM2-B13	Brain	opt_PWK	9.99997000009e-07
CM2	CM2-B14	Brain	opt_Balbc	9.99997000009e-07
CM2	CM2-B14	Brain	opt_C57	0.999998000006
CM2	CM2-B14	Brain	opt_PWK	9.99997000009e-07
CM2	CM2-B15	Brain	opt_Balbc	9.99997000009e-07
CM2	CM2-B15	Brain	opt_C57	0.999998000006
CM2	CM2-B15	Brain	opt_PWK	9.99997000009e-07
CM2	CM2-B6	Brain	opt_Balbc	9.99997000009e-07
CM2	CM2-B6	Brain	opt_C57	0.999998000006
CM2	CM2-B6	Brain	opt_PWK	9.99997000009e-07
CM2	CM2-B19	Brain	opt_Balbc	9.99304483387044e-07
CM2	CM2-B19	Brain	opt_C57	0.999305482691527
CM2	CM2-B19	Brain	opt_PWK	0.000693518003989313
CM2	CM2-B16	Brain	opt_Balbc	9.99269731643757e-07
CM2	CM2-B16	Brain	opt_C57	0.999270730913489
CM2	CM2-B16	Brain	opt_PWK	0.000728269816779537
CM2	CM2-B1	Brain	opt_Balbc	9.99260627400579e-07
CM2	CM2-B1	Brain	opt_C57	0.999261626661206
CM2	CM2-B1	Brain	opt_PWK	0.000737374078166431
CM1	CM1-B2	Brain	opt_Balbc	9.99155962159925e-07
CM1	CM1-B2	Brain	opt_C57	0.999156961315887
CM1	CM1-B2	Brain	opt_PWK	0.000842039528150429
CM1	CM1-B5	Brain	opt_Balbc	9.99001981100531e-07
CM1	CM1-B5	Brain	opt_C57	0.999002980102512
CM1	CM1-B5	Brain	opt_PWK	0.000996020895507321
CM2	CM2-B4	Brain	opt_Balbc	9.98997006005973e-07
CM2	CM2-B4	Brain	opt_C57	0.998998005002979
CM2	CM2-B4	Brain	opt_PWK	0.00100099600001491
CM1	CM1-B9	Brain	opt_Balbc	1.00882754488277e-06
CM1	CM1-B9	Brain	opt_C57	0.998638376489273
CM1	CM1-B9	Brain	opt_PWK	0.00136061468318216
CM2	CM2-B5	Brain	opt_Balbc	9.98150289010723e-07
CM2	CM2-B5	Brain	opt_C57	0.998151287161012
CM2	CM2-B5	Brain	opt_PWK	0.00184771468869915
CM2	CM2-B18	Brain	opt_Balbc	0.00224842376298201
CM2	CM2-B18	Brain	opt_C57	0.995236631981987
CM2	CM2-B18	Brain	opt_PWK	0.00251494425503118
CM2	CM2-B8	Brain	opt_Balbc	0.0100010475966058
CM2	CM2-B8	Brain	opt_C57	0.989997872406893
CM2	CM2-B8	Brain	opt_PWK	1.07999650078572e-06
CM2	CM2-B2	Brain	opt_Balbc	0.011453363855814
CM2	CM2-B2	Brain	opt_C57	0.988545605434203
CM2	CM2-B2	Brain	opt_PWK	1.03070998314081e-06
CM1	CM1-B4	Brain	opt_Balbc	0.015639107136449
CM1	CM1-B4	Brain	opt_C57	0.983653123867234
CM1	CM1-B4	Brain	opt_PWK	0.00070776899631686
CM2	CM2-B7	Brain	opt_Balbc	0.0164123055169172
CM2	CM2-B7	Brain	opt_C57	0.983586635957652
CM2	CM2-B7	Brain	opt_PWK	1.05852543097473e-06
CM2	CM2-B9	Brain	opt_Balbc	0.0172796825997735
CM2	CM2-B9	Brain	opt_C57	0.982719194293859
CM2	CM2-B9	Brain	opt_PWK	1.12310636712909e-06
CM1	CM1-B8	Brain	opt_Balbc	0.022228502956102
CM1	CM1-B8	Brain	opt_C57	0.976347986433467
CM1	CM1-B8	Brain	opt_PWK	0.00142351061043133
CM1	CM1-B11	Brain	opt_Balbc	0.0263444535620552
CM1	CM1-B11	Brain	opt_C57	0.97365453221553
CM1	CM1-B11	Brain	opt_PWK	1.01422241460813e-06
CM2	CM2-B12	Brain	opt_Balbc	0.0432910226536897
CM2	CM2-B12	Brain	opt_C57	0.956707851808985
CM2	CM2-B12	Brain	opt_PWK	1.12553732500853e-06
CM2	CM2-B20	Brain	opt_Balbc	0.0437660348509743
CM2	CM2-B20	Brain	opt_C57	0.95623292025989
CM2	CM2-B20	Brain	opt_PWK	1.04488913532652e-06
CM1	CM1-B10	Brain	opt_Balbc	0.0472251750033172
CM1	CM1-B10	Brain	opt_C57	0.951884916752484
CM1	CM1-B10	Brain	opt_PWK	0.0008899082441991
CM1	CM1-B17	Brain	opt_Balbc	0.0674721161532723
CM1	CM1-B17	Brain	opt_C57	0.932526736840252
CM1	CM1-B17	Brain	opt_PWK	1.14700647557697e-06
CM1	CM1-B15	Brain	opt_Balbc	0.0963362247893247
CM1	CM1-B15	Brain	opt_C57	0.903662673377706
CM1	CM1-B15	Brain	opt_PWK	1.1018329688639e-06
CM1	CM1-B16	Brain	opt_Balbc	0.0972135424896798
CM1	CM1-B16	Brain	opt_C57	0.902785381692356
CM1	CM1-B16	Brain	opt_PWK	1.07581796449097e-06
CM1	CM1-B14	Brain	opt_Balbc	0.0979301497702199
CM1	CM1-B14	Brain	opt_C57	0.900948143179099
CM1	CM1-B14	Brain	opt_PWK	0.00112170705068082
CM2	CM2-B10	Brain	opt_Balbc	0.11302741759354
CM2	CM2-B10	Brain	opt_C57	0.884955724381977
CM2	CM2-B10	Brain	opt_PWK	0.0020168580244837
CM1	CM1-B7	Brain	opt_Balbc	0.126861321820371
CM1	CM1-B7	Brain	opt_C57	0.873137549123914
CM1	CM1-B7	Brain	opt_PWK	1.12905571569843e-06
CM1	CM1-B13	Brain	opt_Balbc	0.202273566718019
CM1	CM1-B13	Brain	opt_C57	0.797725411805627
CM1	CM1-B13	Brain	opt_PWK	1.02147635350214e-06
CM1	CM1-B6	Brain	opt_Balbc	0.204093953578639
CM1	CM1-B6	Brain	opt_C57	0.793032319883685
CM1	CM1-B6	Brain	opt_PWK	0.00287372653767581
CM1	CM1-B12	Brain	opt_Balbc	0.219703133292852
CM1	CM1-B12	Brain	opt_C57	0.779432913036875
CM1	CM1-B12	Brain	opt_PWK	0.000863953670272477
CM1	CM1-B18	Brain	opt_Balbc	0.353407242648036
CM1	CM1-B18	Brain	opt_C57	0.645850949996823
CM1	CM1-B18	Brain	opt_PWK	0.000741807355140844
