Group	Fish	Sample	TUDomProp
Mock	CleanTL_1	Mock1	0
Mock	CleanTL_1	Mock2	0
Mock	CleanTL_1	Mock3	0.00602409638554217
Mock	CleanTL_2	Mock4	0.00662251655629139
Mock	CleanTL_2	Mock5	0.00754716981132075
Mock	CleanTL_3	Mock6	0.015625
Mock	CleanTL_3	Mock7	0.0154738878143133
Mock	CleanTL_3	Mock8	0.00389863547758285
Control	F1	F1-C1	0.0135746606334842
Control	F1	F1-C2	0.0101694915254237
Control	F1	F1-C3	0.0106382978723404
Chimeric	F1	F1-D1	0.0666666666666667
Chimeric	F1	F1-D2	0.0454545454545455
Chimeric	F1	F1-D3	0.0175913396481732
Chimeric	F1	F1-D4	0.0109034267912773
Chimeric	F1	F1-D5	0.0167417900837089
Control	F2	F2-C1	0.00732394366197183
Control	F2	F2-C2	0.00900360144057623
Control	F2	F2-C3	0.00624566273421235
Chimeric	F2	F2-D1	0
Chimeric	F2	F2-D2	0
Chimeric	F2	F2-D3	0.014916810097533
Chimeric	F2	F2-D4	0.0285714285714286
Chimeric	F2	F2-D5	0.00881542699724518
Control	F3	F3-C1	0.0160919540229885
Control	F3	F3-C2	0.0190641247833622
Control	F3	F3-C3	0.010989010989011
Control	F3	F3-C4	0.00761904761904762
Chimeric	F3	F3-D1	0.00872938894277401
Chimeric	F3	F3-D3	0.00303951367781155
Chimeric	F3	F3-D4	0.0582089552238806
Chimeric	F3	F3-D5	0.0124013528748591
Control	F4	F4-C1	0.0022271714922049
Control	F4	F4-C2	0.013745704467354
Control	F4	F4-C3	0.00616612259702575
Control	F4	F4-C4	0.00970496894409938
Control	F4	F4-C5	0.0253807106598985
Chimeric	F4	F4-D1	0.0687977762334955
Chimeric	F4	F4-D4	0.0171081677704194
Chimeric	F4	F4-D5	0.0265654648956357
Control	F5	F5-C1	0.0031201248049922
Control	F5	F5-C2	0.0136986301369863
Control	F5	F5-C3	0.00375657400450789
Control	F5	F5-C4	0.0200803212851406
Chimeric	F5	F5-D1	0.00735294117647059
Chimeric	F5	F5-D2	0.00803535556448373
Chimeric	F5	F5-D3	0.0122783083219645
Chimeric	F5	F5-D4	0.0101408450704225
Control	F6	F6-C1	0.00832177531206657
Control	F6	F6-C2	0.00523903077930583
Control	F6	F6-C3	0.0036101083032491
Control	F6	F6-C4	0.00850340136054422
Chimeric	F6	F6-D1	0.00730994152046784
Chimeric	F6	F6-D2	0.157513578756789
Chimeric	F6	F6-D3	0.0396039603960396
Chimeric	F6	F6-D4	0.00785854616895874
Chimeric	F6	F6-D6	0.062200956937799
